"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2018","6,963.9","6,907.1","6,980.0","6,783.0","0.57K","0.82%"
"Jun 10, 2018","6,907.1","7,543.5","7,550.0","6,801.0","1.10K","-8.44%"
"Jun 09, 2018","7,543.5","7,649.1","7,688.1","7,518.4","0.17K","-1.38%"
"Jun 08, 2018","7,649.1","7,688.4","7,700.0","7,550.0","0.21K","-0.51%"
"Jun 07, 2018","7,688.4","7,654.7","7,749.9","7,654.7","0.23K","0.44%"
"Jun 06, 2018","7,654.7","7,636.6","7,699.0","7,515.0","0.36K","0.24%"
"Jun 05, 2018","7,636.6","7,578.5","7,699.0","7,435.1","0.42K","0.77%"
"Jun 04, 2018","7,578.5","7,717.0","7,754.7","7,500.0","0.43K","-1.79%"
"Jun 03, 2018","7,717.0","7,682.6","7,779.8","7,651.2","0.36K","0.45%"
"Jun 02, 2018","7,682.6","7,586.4","7,728.9","7,525.0","0.24K","1.27%"
"Jun 01, 2018","7,586.4","7,534.7","7,721.8","7,400.0","0.38K","0.69%"
"May 31, 2018","7,534.7","7,436.4","7,649.9","7,400.6","0.36K","1.32%"
"May 30, 2018","7,436.4","7,544.9","7,643.6","7,323.1","0.32K","-1.44%"
"May 29, 2018","7,544.9","7,209.7","7,595.0","7,156.0","0.54K","4.65%"
"May 28, 2018","7,209.7","7,472.8","7,541.1","7,168.1","0.67K","-3.52%"
"May 27, 2018","7,472.8","7,454.2","7,497.8","7,348.0","0.31K","0.25%"
"May 26, 2018","7,454.2","7,557.7","7,725.1","7,400.0","0.26K","-1.37%"
"May 25, 2018","7,557.7","7,646.6","7,700.6","7,451.1","0.47K","-1.16%"
"May 24, 2018","7,646.6","7,644.7","7,872.8","7,376.2","0.78K","0.02%"
"May 23, 2018","7,644.7","8,094.3","8,140.4","7,587.0","0.76K","-5.50%"
"May 22, 2018","8,090.0","8,487.0","8,500.0","8,069.4","0.40K","-4.68%"
"May 21, 2018","8,487.0","8,619.6","8,710.7","8,381.7","0.39K","-1.54%"
"May 20, 2018","8,619.6","8,324.7","8,682.5","8,279.0","0.40K","3.54%"
"May 19, 2018","8,324.7","8,323.9","8,438.7","8,220.0","0.33K","0.01%"
"May 18, 2018","8,323.9","8,200.6","8,385.2","8,101.1","0.40K","1.50%"
"May 17, 2018","8,200.6","8,442.7","8,550.0","8,194.3","0.59K","-2.87%"
"May 16, 2018","8,442.7","8,591.4","8,609.9","8,254.6","0.85K","-1.73%"
"May 15, 2018","8,591.4","8,704.5","8,865.8","8,530.1","0.47K","-1.30%"
"May 14, 2018","8,704.5","8,835.0","8,927.6","8,490.4","0.77K","-1.48%"
"May 13, 2018","8,835.0","8,615.8","8,906.5","8,545.0","0.47K","2.54%"
"May 12, 2018","8,615.8","8,529.6","8,809.9","8,410.0","0.79K","1.01%"
"May 11, 2018","8,529.6","9,095.8","9,121.3","8,500.2","1.05K","-6.22%"
"May 10, 2018","9,095.8","9,332.0","9,396.8","9,063.1","0.48K","-2.53%"
"May 09, 2018","9,332.0","9,236.7","9,379.3","9,057.2","0.48K","0.92%"
"May 08, 2018","9,246.8","9,384.7","9,499.9","9,110.0","0.65K","-1.47%"
"May 07, 2018","9,384.7","9,639.8","9,645.3","9,226.0","0.52K","-2.65%"
"May 06, 2018","9,639.8","9,783.8","9,858.1","9,450.1","0.50K","-1.47%"
"May 05, 2018","9,783.8","9,664.9","9,900.0","9,630.8","0.68K","1.23%"
"May 04, 2018","9,664.9","9,680.0","9,749.0","9,473.0","0.57K","-0.16%"
"May 03, 2018","9,680.0","9,184.5","9,700.0","9,146.2","0.84K","5.54%"
"May 02, 2018","9,171.8","9,058.9","9,209.4","9,000.0","0.35K","1.25%"
"May 01, 2018","9,058.9","9,274.6","9,275.7","8,878.3","0.54K","-2.33%"
"Apr 30, 2018","9,274.6","9,398.0","9,420.2","9,170.0","0.44K","-1.31%"
"Apr 29, 2018","9,398.0","9,349.0","9,474.9","9,227.0","0.47K","0.52%"
"Apr 28, 2018","9,349.0","8,993.5","9,449.0","8,944.6","0.59K","3.95%"
"Apr 27, 2018","8,993.5","9,278.4","9,390.0","8,940.1","0.81K","-3.07%"
"Apr 26, 2018","9,278.4","8,912.7","9,300.0","8,700.0","0.73K","4.10%"
"Apr 25, 2018","8,912.7","9,629.0","9,725.0","8,800.0","1.46K","-7.44%"
"Apr 24, 2018","9,629.0","8,945.5","9,699.0","8,912.3","1.08K","7.64%"
"Apr 23, 2018","8,945.5","8,824.2","8,997.0","8,783.0","0.39K","1.37%"
"Apr 22, 2018","8,824.2","8,890.3","9,048.9","8,760.0","0.63K","-0.74%"
"Apr 21, 2018","8,890.3","8,871.3","9,120.0","8,600.0","0.95K","0.21%"
"Apr 20, 2018","8,871.3","8,276.7","8,942.5","8,218.0","0.95K","7.18%"
"Apr 19, 2018","8,276.7","8,155.6","8,317.0","8,110.3","0.51K","1.48%"
"Apr 18, 2018","8,155.6","7,926.9","8,200.0","7,903.6","0.67K","2.89%"
"Apr 17, 2018","7,926.9","8,040.0","8,177.9","7,830.9","0.62K","-1.41%"
"Apr 16, 2018","8,040.0","8,308.2","8,380.0","7,900.0","0.79K","-3.23%"
"Apr 15, 2018","8,308.2","7,988.5","8,387.9","7,988.5","0.60K","4.00%"
"Apr 14, 2018","7,988.5","7,862.4","8,150.0","7,840.1","0.69K","1.60%"
"Apr 13, 2018","7,862.4","7,924.1","8,234.2","7,715.6","1.27K","-0.78%"
"Apr 12, 2018","7,924.1","6,944.3","7,959.1","6,734.0","2.19K","14.43%"
"Apr 11, 2018","6,925.0","6,841.3","6,950.0","6,781.0","0.29K","1.22%"
"Apr 10, 2018","6,841.3","6,772.8","6,874.9","6,681.1","0.43K","0.95%"
"Apr 09, 2018","6,776.8","6,988.1","7,140.0","6,651.9","0.92K","-3.02%"
"Apr 08, 2018","6,988.1","6,884.2","7,079.7","6,869.5","0.44K","1.51%"
"Apr 07, 2018","6,884.2","6,644.1","7,060.0","6,644.1","0.74K","3.61%"
"Apr 06, 2018","6,644.1","6,829.9","6,922.5","6,539.0","0.71K","-2.72%"
"Apr 05, 2018","6,829.9","6,894.3","7,000.0","6,677.0","1.12K","-0.93%"
"Apr 04, 2018","6,894.3","7,488.8","7,501.3","6,801.0","1.42K","-7.94%"
"Apr 03, 2018","7,488.8","7,109.4","7,659.7","7,080.8","1.10K","5.34%"
"Apr 02, 2018","7,109.4","6,910.5","7,223.7","6,853.0","0.92K","2.88%"
"Apr 01, 2018","6,910.5","6,997.4","7,117.1","6,538.4","1.23K","-1.24%"
"Mar 31, 2018","6,997.4","6,974.0","7,297.8","6,900.1","0.96K","0.34%"
"Mar 30, 2018","6,974.0","7,222.0","7,458.0","6,703.3","2.15K","-3.43%"
